i,encoding,dataset,selectivity,query_time
0,LECO,normal_200M_uint32.txt,0.001,0.703706
0,LECO,normal_200M_uint32.txt,0.01,0.840074
0,LECO,normal_200M_uint32.txt,0.05,0.875968
0,LECO,normal_200M_uint32.txt,0.1,0.863751
0,LECO,normal_200M_uint32.txt,1.0,0.898983
0,LECO,normal_200M_uint32.txt,10.0,1.66027
0,LECO,linear_200M_uint32.txt,0.001,0.701447
0,LECO,linear_200M_uint32.txt,0.01,0.835932
0,LECO,linear_200M_uint32.txt,0.05,0.868046
0,LECO,linear_200M_uint32.txt,0.1,0.862543
0,LECO,linear_200M_uint32.txt,1.0,0.894826
0,LECO,linear_200M_uint32.txt,10.0,1.64395
0,LECO,books_200M_uint32.txt,0.001,0.866947
0,LECO,books_200M_uint32.txt,0.01,1.00342
0,LECO,books_200M_uint32.txt,0.05,1.03142
0,LECO,books_200M_uint32.txt,0.1,1.02839
0,LECO,books_200M_uint32.txt,1.0,1.05021
0,LECO,books_200M_uint32.txt,10.0,1.81024
0,PLAIN,normal_200M_uint32.txt,0.001,1.26961
0,PLAIN,normal_200M_uint32.txt,0.01,1.64059
0,PLAIN,normal_200M_uint32.txt,0.05,1.72404
0,PLAIN,normal_200M_uint32.txt,0.1,1.71304
0,PLAIN,normal_200M_uint32.txt,1.0,1.74265
0,PLAIN,normal_200M_uint32.txt,10.0,2.31884
0,PLAIN,linear_200M_uint32.txt,0.001,1.2736
0,PLAIN,linear_200M_uint32.txt,0.01,1.67028
0,PLAIN,linear_200M_uint32.txt,0.05,1.72774
0,PLAIN,linear_200M_uint32.txt,0.1,1.7323
0,PLAIN,linear_200M_uint32.txt,1.0,1.74809
0,PLAIN,linear_200M_uint32.txt,10.0,2.32725
0,PLAIN,books_200M_uint32.txt,0.001,1.33868
0,PLAIN,books_200M_uint32.txt,0.01,1.64348
0,PLAIN,books_200M_uint32.txt,0.05,1.73914
0,PLAIN,books_200M_uint32.txt,0.1,1.73662
0,PLAIN,books_200M_uint32.txt,1.0,1.74518
0,PLAIN,books_200M_uint32.txt,10.0,2.3195
0,FOR,normal_200M_uint32.txt,0.001,0.915307
0,FOR,normal_200M_uint32.txt,0.01,1.14212
0,FOR,normal_200M_uint32.txt,0.05,1.17149
0,FOR,normal_200M_uint32.txt,0.1,1.17056
0,FOR,normal_200M_uint32.txt,1.0,1.21058
0,FOR,normal_200M_uint32.txt,10.0,1.84965
0,FOR,linear_200M_uint32.txt,0.001,0.945006
0,FOR,linear_200M_uint32.txt,0.01,1.1761
0,FOR,linear_200M_uint32.txt,0.05,1.24905
0,FOR,linear_200M_uint32.txt,0.1,1.22482
0,FOR,linear_200M_uint32.txt,1.0,1.26063
0,FOR,linear_200M_uint32.txt,10.0,1.89565
0,FOR,books_200M_uint32.txt,0.001,0.906273
0,FOR,books_200M_uint32.txt,0.01,1.04643
0,FOR,books_200M_uint32.txt,0.05,1.10248
0,FOR,books_200M_uint32.txt,0.1,1.09375
0,FOR,books_200M_uint32.txt,1.0,1.11085
0,FOR,books_200M_uint32.txt,10.0,1.74398
1,LECO,normal_200M_uint32.txt,0.001,0.698508
1,LECO,normal_200M_uint32.txt,0.01,0.838901
1,LECO,normal_200M_uint32.txt,0.05,0.879379
1,LECO,normal_200M_uint32.txt,0.1,0.860086
1,LECO,normal_200M_uint32.txt,1.0,0.896139
1,LECO,normal_200M_uint32.txt,10.0,1.6601
1,LECO,linear_200M_uint32.txt,0.001,0.708298
1,LECO,linear_200M_uint32.txt,0.01,0.845867
1,LECO,linear_200M_uint32.txt,0.05,0.861043
1,LECO,linear_200M_uint32.txt,0.1,0.872932
1,LECO,linear_200M_uint32.txt,1.0,0.900527
1,LECO,linear_200M_uint32.txt,10.0,1.66938
1,LECO,books_200M_uint32.txt,0.001,0.878797
1,LECO,books_200M_uint32.txt,0.01,1.00854
1,LECO,books_200M_uint32.txt,0.05,1.04614
1,LECO,books_200M_uint32.txt,0.1,1.03146
1,LECO,books_200M_uint32.txt,1.0,1.07594
1,LECO,books_200M_uint32.txt,10.0,1.80936
1,PLAIN,normal_200M_uint32.txt,0.001,1.26205
1,PLAIN,normal_200M_uint32.txt,0.01,1.62582
1,PLAIN,normal_200M_uint32.txt,0.05,1.6808
1,PLAIN,normal_200M_uint32.txt,0.1,1.72832
1,PLAIN,normal_200M_uint32.txt,1.0,1.75241
1,PLAIN,normal_200M_uint32.txt,10.0,2.32216
1,PLAIN,linear_200M_uint32.txt,0.001,1.2761
1,PLAIN,linear_200M_uint32.txt,0.01,1.66503
1,PLAIN,linear_200M_uint32.txt,0.05,1.74045
1,PLAIN,linear_200M_uint32.txt,0.1,1.71532
1,PLAIN,linear_200M_uint32.txt,1.0,1.74263
1,PLAIN,linear_200M_uint32.txt,10.0,2.32549
1,PLAIN,books_200M_uint32.txt,0.001,1.35479
1,PLAIN,books_200M_uint32.txt,0.01,1.6525
1,PLAIN,books_200M_uint32.txt,0.05,1.73478
1,PLAIN,books_200M_uint32.txt,0.1,1.71881
1,PLAIN,books_200M_uint32.txt,1.0,1.77121
1,PLAIN,books_200M_uint32.txt,10.0,2.34778
1,FOR,normal_200M_uint32.txt,0.001,0.902444
1,FOR,normal_200M_uint32.txt,0.01,1.12335
1,FOR,normal_200M_uint32.txt,0.05,1.1932
1,FOR,normal_200M_uint32.txt,0.1,1.18237
1,FOR,normal_200M_uint32.txt,1.0,1.20933
1,FOR,normal_200M_uint32.txt,10.0,1.87123
1,FOR,linear_200M_uint32.txt,0.001,0.971359
1,FOR,linear_200M_uint32.txt,0.01,1.19155
1,FOR,linear_200M_uint32.txt,0.05,1.22836
1,FOR,linear_200M_uint32.txt,0.1,1.23994
1,FOR,linear_200M_uint32.txt,1.0,1.24794
1,FOR,linear_200M_uint32.txt,10.0,1.88725
1,FOR,books_200M_uint32.txt,0.001,0.894981
1,FOR,books_200M_uint32.txt,0.01,1.05269
1,FOR,books_200M_uint32.txt,0.05,1.09925
1,FOR,books_200M_uint32.txt,0.1,1.10421
1,FOR,books_200M_uint32.txt,1.0,1.10991
1,FOR,books_200M_uint32.txt,10.0,1.76345
2,LECO,normal_200M_uint32.txt,0.001,0.703296
2,LECO,normal_200M_uint32.txt,0.01,0.848393
2,LECO,normal_200M_uint32.txt,0.05,0.875839
2,LECO,normal_200M_uint32.txt,0.1,0.87255
2,LECO,normal_200M_uint32.txt,1.0,0.89592
2,LECO,normal_200M_uint32.txt,10.0,1.65085
2,LECO,linear_200M_uint32.txt,0.001,0.705281
